"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SYTL1",6.62778835689643e-08,0.378256973715233,0.346,0.158,0.000908934895264776,"5","SYTL1"
"ATP5E1",6.96603428709802e-08,0.365091520897805,0.951,0.739,0.000955321942132622,"5","ATP5E"
"LAP31",7.77366951176038e-08,0.355574965501286,0.321,0.145,0.00106608103684282,"5","LAP3"
"CCDC12",7.84423378328679e-08,0.685624855811667,0.469,0.233,0.00107575822103995,"5","CCDC12"
"SAMHD11",8.31872563722409e-08,0.312244250262227,0.463,0.229,0.00114083003388891,"5","SAMHD1"
"FAM49B",8.93984162182228e-08,0.257705501157618,0.543,0.287,0.00122600988001671,"5","FAM49B"
"ATP5EP21",1.1660663761844e-07,0.379847895109475,0.512,0.267,0.00159914342829929,"5","ATP5EP2"
"LCP11",1.16641873891483e-07,0.469891568249529,0.636,0.371,0.00159962665854779,"5","LCP1"
"PPP4C1",1.22075880761153e-07,0.338761309245335,0.531,0.276,0.00167414862875845,"5","PPP4C"
"PSMD4",1.26357632534401e-07,0.41856024688651,0.525,0.27,0.00173286857257677,"5","PSMD4"
"BST21",1.28218276833263e-07,0.410045898478542,0.747,0.43,0.00175838544849136,"5","BST2"
"UBE2B",1.32815933257527e-07,0.671970292117308,0.321,0.141,0.00182143770869372,"5","UBE2B"
"COX6A1P2",1.73362560012742e-07,0.378936569318751,0.37,0.177,0.00237749414801474,"5","COX6A1P2"
"SEPT91",1.96129047967627e-07,0.355089454691542,0.574,0.323,0.00268971376382804,"5","SEPT9"
"ARF51",1.99636430160571e-07,0.434457058356585,0.519,0.284,0.00273781400322207,"5","ARF5"
"CYTH4",2.05245883374398e-07,0.656660116620821,0.278,0.122,0.00281474204459649,"5","CYTH4"
"HERPUD11",2.0811619201659e-07,0.257482093573649,0.407,0.2,0.00285410545731551,"5","HERPUD1"
"COX7A2",2.14072850021599e-07,0.403713590052489,0.654,0.384,0.0029357950651962,"5","COX7A2"
"UQCR101",2.56798178858785e-07,0.28843498592849,0.605,0.332,0.00352173022486938,"5","UQCR10"
"FIBP1",2.57934005907609e-07,0.331664185196087,0.34,0.162,0.00353730695701695,"5","FIBP"
"CHCHD2",2.65759169764137e-07,0.343373871544981,0.92,0.7,0.00364462125414537,"5","CHCHD2"
"ZNHIT11",3.03289038036672e-07,0.286580968266869,0.5,0.261,0.00415930586763493,"5","ZNHIT1"
"PDCL3",3.69538389607572e-07,0.280372867462426,0.265,0.114,0.00506784947507824,"5","PDCL3"
"NDUFS61",3.70885061172389e-07,0.29985152314589,0.432,0.218,0.00508631772891814,"5","NDUFS6"
"NDUFB6",4.23827676883233e-07,0.613229929604344,0.278,0.122,0.00581237276077666,"5","NDUFB6"
"RP11-347P5.1",4.66438162951716e-07,0.278095621579564,0.278,0.123,0.00639673296671983,"5","RP11-347P5.1"
"PSMC2",4.95725452695352e-07,0.261995479281543,0.296,0.132,0.00679837885826405,"5","PSMC2"
"C1orf431",5.19719999262317e-07,0.381011697581698,0.42,0.215,0.00712744006988341,"5","C1orf43"
"TBCB",5.66978247916897e-07,0.453110152960831,0.537,0.292,0.00777553969193233,"5","TBCB"
"KDELR2",6.1156440501392e-07,0.269431548347359,0.346,0.168,0.0083869942503609,"5","KDELR2"
"ADAR",6.63436711905572e-07,0.557778863873479,0.346,0.17,0.00909837106707301,"5","ADAR"
"GLUD1",7.40477914893257e-07,0.431403645832381,0.272,0.12,0.0101549141248461,"5","GLUD1"
"NDUFC1",7.40909829506911e-07,0.259096442325587,0.272,0.121,0.0101608374018578,"5","NDUFC1"
"CRIP12",9.06155677523799e-07,0.334195040169662,0.599,0.355,0.0124270189615614,"5","CRIP1"
"PSENEN",9.5264333862352e-07,0.265229355356375,0.29,0.131,0.0130645507458829,"5","PSENEN"
"CALM3",1.04253557399063e-06,0.495720294267081,0.605,0.348,0.0142973328617076,"5","CALM3"
"LRPAP1",1.09336452964189e-06,0.270172932187796,0.346,0.17,0.0149944011595089,"5","LRPAP1"
"UBE2E3",1.19034506847326e-06,0.265078382347748,0.259,0.114,0.0163243922690423,"5","UBE2E3"
"ERCC1",1.83146086782244e-06,0.394529188703122,0.253,0.11,0.0251166543413169,"5","ERCC1"
"OSTF1",2.56862878172171e-06,0.444026956613986,0.512,0.298,0.0352261751125315,"5","OSTF1"
"GNAS1",2.59927733273788e-06,0.289095541958143,0.512,0.286,0.0356464893411673,"5","GNAS"
"COMT1",3.08682368598979e-06,0.316674687784846,0.309,0.147,0.042332700029664,"5","COMT"
"NDUFV2",3.20542600006194e-06,0.279292502375206,0.494,0.268,0.0439592121648494,"5","NDUFV2"
"LSMD11",3.24994431795229e-06,0.378871903149997,0.34,0.166,0.0445697363763977,"5","LSMD1"
"SNRPD3",3.25601414393999e-06,0.294958604127748,0.34,0.168,0.044652977969993,"5","SNRPD3"
"RNF213",3.56737283445582e-06,0.474052440999359,0.414,0.215,0.0489229510517271,"5","RNF213"
"MIEN1",3.61178161284381e-06,0.263582658077571,0.346,0.171,0.04953197303854,"5","MIEN1"
"SELT1",3.62106100950953e-06,0.315650578307944,0.531,0.286,0.0496592306844137,"5","SELT"
"ZFP361",3.7762560407068e-06,0.320213365672707,0.87,0.695,0.0517875753422531,"5","ZFP36"
"TCF25",4.21395318725849e-06,0.434255407004104,0.444,0.242,0.057790154010063,"5","TCF25"
"MKRN1",4.62540865487248e-06,0.283725695431801,0.377,0.198,0.0634328542929212,"5","MKRN1"
"ENO1",4.72000932412598e-06,0.347506206432961,0.784,0.551,0.0647302078710637,"5","ENO1"
"AMICA11",5.72952861248888e-06,0.261031848222064,0.457,0.251,0.0785747553916725,"5","AMICA1"
"PSMC4",6.42516598232343e-06,0.410826643221502,0.327,0.158,0.0881147262815836,"5","PSMC4"
"NDUFS71",6.87431611532781e-06,0.345373367586065,0.494,0.28,0.0942743712056056,"5","NDUFS7"
"RAB2A",6.92658002342691e-06,0.338417262551004,0.321,0.16,0.0949911184412767,"5","RAB2A"
"SAP18",7.44909642880111e-06,0.303437784874119,0.735,0.462,0.102156908424578,"5","SAP18"
"ICAM3",7.67213806406197e-06,0.29796701050303,0.667,0.407,0.105215701410546,"5","ICAM3"
"PSMB2",7.90695279056592e-06,0.289287440674301,0.389,0.206,0.108435950569821,"5","PSMB2"
"ATP6V0E1",8.03165677384845e-06,0.333117721810057,0.833,0.547,0.110146140996558,"5","ATP6V0E1"
"CHMP2A1",8.50444329315805e-06,0.309982355348821,0.451,0.252,0.116629935322369,"5","CHMP2A"
"ATP6AP2",9.33916374405682e-06,0.315107308017976,0.438,0.241,0.128077291585995,"5","ATP6AP2"
"NDUFA4",1.1177200117449e-05,0.266624846560967,0.735,0.514,0.153284122410695,"5","NDUFA4"
"DECR1",1.14540698428382e-05,0.27416666585605,0.34,0.176,0.157081113824683,"5","DECR1"
"AHNAK1",1.41595157414887e-05,0.358779573807611,0.475,0.262,0.194183598878776,"5","AHNAK"
"RBCK1",1.5426568504055e-05,0.396295279274778,0.377,0.197,0.211559960464611,"5","RBCK1"
"PTGES3",1.78895721617865e-05,0.316276273368383,0.586,0.397,0.245337592626739,"5","PTGES3"
"RALY",2.82367773775709e-05,0.428352372582228,0.407,0.216,0.387239164956007,"5","RALY"
"SNX17",2.97791557119251e-05,0.510116909177266,0.383,0.208,0.408391341433341,"5","SNX17"
"DCTN3",4.47150870251968e-05,0.449009715087112,0.407,0.222,0.613222703463549,"5","DCTN3"
"LCP2",4.5971184818664e-05,0.281587850982544,0.259,0.126,0.630448828603158,"5","LCP2"
"ARL4A",4.77348222041276e-05,0.250005457865581,0.278,0.146,0.654635351707406,"5","ARL4A"
"GPX41",6.54634313392098e-05,0.282202460591814,0.747,0.531,0.897765497385923,"5","GPX4"
"ATRAID",7.36743632156969e-05,0.3306365107792,0.469,0.265,1,"5","ATRAID"
"GRK6",8.03479401191295e-05,0.273037652419692,0.333,0.18,1,"5","GRK6"
"UBC1",0.000103940427594281,0.275440330379126,0.963,0.846,1,"5","UBC"
"LDHA1",0.000114815599415631,0.370756240363735,0.722,0.478,1,"5","LDHA"
"C19orf70",0.000145719862523932,0.271073708602831,0.37,0.214,1,"5","C19orf70"
"CHMP1B1",0.000277227790248842,0.359738464880069,0.438,0.25,1,"5","CHMP1B"
"MYL12B2",0.000277883809441024,0.353087945162826,0.901,0.688,1,"5","MYL12B"
"DNAJC15",0.000487044371528967,1.927372433486,0.253,0.138,1,"5","DNAJC15"
"NDUFA111",0.000655718795972228,0.295561147513964,0.63,0.399,1,"5","NDUFA11"
"APBB1IP",0.00108851902375214,0.285989316563565,0.278,0.156,1,"5","APBB1IP"
"COPE1",0.00108988659102502,0.306271838705649,0.66,0.423,1,"5","COPE"
"UBXN1",0.00136475954298343,0.338342574363015,0.747,0.496,1,"5","UBXN1"
"SIVA1",0.00168184223134187,0.46801560132875,0.358,0.214,1,"5","SIVA1"
"YPEL5",0.00170284354285603,0.454529032141615,0.519,0.326,1,"5","YPEL5"
"SMIM7",0.00207588467378533,0.559545818294416,0.272,0.155,1,"5","SMIM7"
"NCL",0.00246344811488999,0.272374037549328,0.383,0.23,1,"5","NCL"
"SOD12",0.002662798018846,0.328861213793356,0.673,0.502,1,"5","SOD1"
"CCT7",0.00281114844263185,0.358766789056616,0.309,0.188,1,"5","CCT7"
"C1orf63",0.00310938757839441,0.458457016571336,0.296,0.173,1,"5","C1orf63"
"GZMB1",1.05191072895889e-265,4.88817178379598,0.986,0.071,1.44259037369422e-261,"6","GZMB"
"FGFBP21",1.52973043116295e-243,4.14062845328405,0.917,0.063,2.09787231329687e-239,"6","FGFBP2"
"SPON2",2.87884241872226e-230,3.39376270379945,0.771,0.04,3.94804449303571e-226,"6","SPON2"
"PRF11",7.13458832427326e-204,4.01810672407618,0.972,0.109,9.78437442790834e-200,"6","PRF1"
"AKR1C3",7.5744042740027e-183,2.3998052417689,0.493,0.014,1.03875380213673e-178,"6","AKR1C3"
"CLIC3",4.58012304233352e-175,2.80414415360546,0.597,0.03,6.28118074025619e-171,"6","CLIC3"
"GNLY1",6.82326456389034e-175,4.91736988501974,0.958,0.135,9.35742502291921e-171,"6","GNLY"
"XCL2",3.52367914802568e-152,2.37190449932996,0.521,0.025,4.83237358360242e-148,"6","XCL2"
"CST71",9.65706931331146e-152,3.31020570021414,0.965,0.152,1.32437048562753e-147,"6","CST7"
"KLRD1",1.42503476480525e-150,2.27309247996717,0.556,0.031,1.95429267645392e-146,"6","KLRD1"
"GZMA1",1.67682873954103e-147,3.17263643403638,0.951,0.154,2.29960293340657e-143,"6","GZMA"
"CCL41",1.07812663979646e-145,3.67992097374977,0.75,0.077,1.47854287381686e-141,"6","CCL4"
"PRSS23",1.7653091390402e-143,1.90185277481736,0.431,0.015,2.42094495327974e-139,"6","PRSS23"
"TTC38",1.86176011297345e-139,2.16063889796123,0.479,0.023,2.55321781893179e-135,"6","TTC38"
"NKG71",6.03840260321566e-132,4.05159039993,1,0.258,8.28106533004995e-128,"6","NKG7"
"FCGR3A1",3.3582410241541e-117,2.33895027359124,0.882,0.146,4.60549174052493e-113,"6","FCGR3A"
"CTSW1",2.47190563053167e-114,2.83104561795864,0.986,0.26,3.38997138171113e-110,"6","CTSW"
"GZMH1",1.29347899233325e-113,2.39814858313458,0.653,0.068,1.77387709008582e-109,"6","GZMH"
"IGFBP7",2.46362177973075e-110,2.9357493685858,0.569,0.059,3.37861090872274e-106,"6","IGFBP7"
"SH2D1B",8.32671121410572e-105,1.46243460304519,0.292,0.008,1.14192517590246e-100,"6","SH2D1B"
"S1PR5",9.6188857083072e-100,1.71518712913001,0.396,0.024,1.31913398603725e-95,"6","S1PR5"
"APMAP1",2.23665881663484e-99,2.10783868685493,0.66,0.092,3.06735390113302e-95,"6","APMAP"
"XCL1",6.88698198964712e-93,1.54154011051086,0.326,0.016,9.44480710060206e-89,"6","XCL1"
